"Static Blocks","Static Blocks",module,Magento_Cms
"Add New Block","Add New Block",module,Magento_Cms
Back,Back,module,Magento_Cms
"Delete Block","Delete Block",module,Magento_Cms
"Are you sure you want to do this?","Are you sure you want to do this?",module,Magento_Cms
Save,Save,module,Magento_Cms
"Save & Duplicate","Save & Duplicate",module,Magento_Cms
"Save & Close","Save & Close",module,Magento_Cms
ID,ID,module,Magento_Cms
Title,Title,module,Magento_Cms
Identifier,Identifier,module,Magento_Cms
Status,Status,module,Magento_Cms
Disabled,Disabled,module,Magento_Cms
Enabled,Enabled,module,Magento_Cms
"Manage Pages","Manage Pages",module,Magento_Cms
"Add New Page","Add New Page",module,Magento_Cms
"Delete Page","Delete Page",module,Magento_Cms
"URL Key","URL Key",module,Magento_Cms
Layout,Layout,module,Magento_Cms
"Store View","Store View",module,Magento_Cms
Created,Created,module,Magento_Cms
Modified,Modified,module,Magento_Cms
Action,Action,module,Magento_Cms
Preview,Preview,module,Magento_Cms
"Media Storage","Media Storage",module,Magento_Cms
Cancel,Cancel,module,Magento_Cms
"Delete Folder","Delete Folder",module,Magento_Cms
"Delete Selected","Delete Selected",module,Magento_Cms
"Create Folder","Create Folder",module,Magento_Cms
"Add Selected","Add Selected",module,Magento_Cms
"New Folder Name:","New Folder Name:",module,Magento_Cms
"Are you sure you want to delete this folder?","Are you sure you want to delete this folder?",module,Magento_Cms
"Are you sure you want to delete this file?","Are you sure you want to delete this file?",module,Magento_Cms
"Images (%1)","Images (%1)",module,Magento_Cms
"Storage Root","Storage Root",module,Magento_Cms
Home,Home,module,Magento_Cms
"Go to Home Page","Go to Home Page",module,Magento_Cms
CMS,CMS,module,Magento_Cms
"You deleted the block.","You deleted the block.",module,Magento_Cms
"We can't find a block to delete.","We can't find a block to delete.",module,Magento_Cms
"This block no longer exists.","This block no longer exists.",module,Magento_Cms
"Edit Block","Edit Block",module,Magento_Cms
"New Block","New Block",module,Magento_Cms
Blocks,Blocks,module,Magento_Cms
"Please correct the data sent.","Please correct the data sent.",module,Magento_Cms
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted.",module,Magento_Cms
"You saved the block.","You saved the block.",module,Magento_Cms
"Something went wrong while saving the block.","Something went wrong while saving the block.",module,Magento_Cms
"You duplicated the block.","You duplicated the block.",module,Magento_Cms
"The page has been deleted.","The page has been deleted.",module,Magento_Cms
"We can't find a page to delete.","We can't find a page to delete.",module,Magento_Cms
"This page no longer exists.","This page no longer exists.",module,Magento_Cms
"Edit Page","Edit Page",module,Magento_Cms
"New Page","New Page",module,Magento_Cms
Pages,Pages,module,Magento_Cms
"Something went wrong while saving the page.","Something went wrong while saving the page.",module,Magento_Cms
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled.",module,Magento_Cms
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled.",module,Magento_Cms
"Page Title","Page Title",module,Magento_Cms
"To apply changes you should fill in hidden required ""%1"" field","To apply changes you should fill in hidden required ""%1"" field",module,Magento_Cms
"You saved the page.","You saved the page.",module,Magento_Cms
"You duplicated the page.","You duplicated the page.",module,Magento_Cms
"Directory %1 is not under storage root path.","Directory %1 is not under storage root path.",module,Magento_Cms
"The directory %1 is not writable by server.","The directory %1 is not writable by server.",module,Magento_Cms
"Make sure that static block content does not reference the block itself.","Make sure that static block content does not reference the block itself.",module,Magento_Cms
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist.",module,Magento_Cms
"Enabled by Default","Enabled by Default",module,Magento_Cms
"Disabled by Default","Disabled by Default",module,Magento_Cms
"Disabled Completely","Disabled Completely",module,Magento_Cms
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist.",module,Magento_Cms
"This identifier is reserved for ""CMS No Route Page"" in configuration.","This identifier is reserved for ""CMS No Route Page"" in configuration.",module,Magento_Cms
"This identifier is reserved for ""CMS Home Page"" in configuration.","This identifier is reserved for ""CMS Home Page"" in configuration.",module,Magento_Cms
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","This identifier is reserved for ""CMS No Cookies Page"" in configuration.",module,Magento_Cms
"Could not save the page: %1","Could not save the page: %1",module,Magento_Cms
"Could not delete the page: %1","Could not delete the page: %1",module,Magento_Cms
"A block identifier with the same properties already exists in the selected store.","A block identifier with the same properties already exists in the selected store.",module,Magento_Cms
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.",module,Magento_Cms
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again.",module,Magento_Cms
"Please rename the folder using only letters, numbers, underscores and dashes.","Please rename the folder using only letters, numbers, underscores and dashes.",module,Magento_Cms
"We found a directory with the same name. Please try another folder name.","We found a directory with the same name. Please try another folder name.",module,Magento_Cms
"We cannot create a new directory.","We cannot create a new directory.",module,Magento_Cms
"We cannot delete directory %1.","We cannot delete directory %1.",module,Magento_Cms
"File validation failed.","File validation failed.",module,Magento_Cms
"We can't upload the file right now.","We can't upload the file right now.",module,Magento_Cms
"We can't delete root directory %1 right now.","We can't delete root directory %1 right now.",module,Magento_Cms
"Privacy and Cookie Policy","Privacy and Cookie Policy",module,Magento_Cms
"Error message","Error message",module,Magento_Cms
LocalizedException,LocalizedException,module,Magento_Cms
RuntimeException,RuntimeException,module,Magento_Cms
Exception,Exception,module,Magento_Cms
"Could not create a directory.","Could not create a directory.",module,Magento_Cms
Edit,Edit,module,Magento_Cms
Delete,Delete,module,Magento_Cms
"Delete %1","Delete %1",module,Magento_Cms
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?",module,Magento_Cms
"All Store Views","All Store Views",module,Magento_Cms
View,View,module,Magento_Cms
px.,px.,module,Magento_Cms
"No files found","No files found",module,Magento_Cms
"Upload Images","Upload Images",module,Magento_Cms
"Collapse All","Collapse All",module,Magento_Cms
"Expand All","Expand All",module,Magento_Cms