"Source Selection","Source Selection",module,Magento_InventoryShippingAdminUi
"Qty of %1 should be less or equal to %2","Qty of %1 should be less or equal to %2",module,Magento_InventoryShippingAdminUi
"You should select one or more items to ship.","You should select one or more items to ship.",module,Magento_InventoryShippingAdminUi
"Source Selection Algorithm","Source Selection Algorithm",module,Magento_InventoryShippingAdminUi
Back,Back,module,Magento_InventoryShippingAdminUi
Inventory,Inventory,module,Magento_InventoryShippingAdminUi
Source:,Source:,module,Magento_InventoryShippingAdminUi
"Proceed to Shipment","Proceed to Shipment",module,Magento_InventoryShippingAdminUi
"Select a Source to Ship from","Select a Source to Ship from",module,Magento_InventoryShippingAdminUi
Source,Source,module,Magento_InventoryShippingAdminUi
"-- Please Select --","-- Please Select --",module,Magento_InventoryShippingAdminUi
"Items Ordered","Items Ordered",module,Magento_InventoryShippingAdminUi
Product,Product,module,Magento_InventoryShippingAdminUi
SKU,SKU,module,Magento_InventoryShippingAdminUi
"Qty To Ship","Qty To Ship",module,Magento_InventoryShippingAdminUi
"Available Sources","Available Sources",module,Magento_InventoryShippingAdminUi
"Qty Available","Qty Available",module,Magento_InventoryShippingAdminUi
"Qty To Deduct","Qty To Deduct",module,Magento_InventoryShippingAdminUi