"Import failed: %1","Import failed: %1",module,Magento_Deploy
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again.",module,Magento_Deploy
"%1 does not implement %2","%1 does not implement %2",module,Magento_Deploy
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","File app/etc/%1 can't be read. Please check if it exists and has read permissions.",module,Magento_Deploy
"There are no sensitive configurations to fill","There are no sensitive configurations to fill",module,Magento_Deploy
"The value can't be empty. Enter the value and try again.","The value can't be empty. Enter the value and try again.",module,Magento_Deploy
"A configuration with this path does not exist or is not sensitive","A configuration with this path does not exist or is not sensitive",module,Magento_Deploy
"The mode can't be switched to ""%1"".","The mode can't be switched to ""%1"".",module,Magento_Deploy
"Wrong logger interface specified.","Wrong logger interface specified.",module,Magento_Deploy
"The hash isn't saved.","The hash isn't saved.",module,Magento_Deploy
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.",module,Magento_Deploy
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.",module,Magento_Deploy
"Wrong type specified: '%1'","Wrong type specified: '%1'",module,Magento_Deploy
"Wrong queue type specified.","Wrong queue type specified.",module,Magento_Deploy
"Compilation from source: ","Compilation from source: ",module,Magento_Deploy
"Wrong deploy strategy type: %1","Wrong deploy strategy type: %1",module,Magento_Deploy
"Some error","Some error",module,Magento_Deploy
"some message","some message",module,Magento_Deploy
Exception,Exception,module,Magento_Deploy